,~id,~label,address:string,parent:string,children:list
0,eth:0x4d521577f820525964c392352bb220482f1aa63b,EOA,0x4d521577f820525964c392352bb220482f1aa63b,,"['0x45f50a4ac2c4e636191adcfbb347ec2a3079fc02', '0xbece7edddd7ab1b7cfd6c93703c3e34c7182b33e', '0x1c1b54fa08f86e1f2b45c053ddff1ba6ffb86539', '0xf9929585e95b0d0894f40f13bd1b6db29c8ced5d', '0x5c2ef0c404728df76fee8d648e870f33f11a753b', '0x922f9969c99711c38b76b9b97ef7e511ce0cf366', '0x2dd4c4bd1d7e993047632a653f59b64fd72f70be', '0x8087aa1038a1e93059ad7356680f517a86de8686', '0xfa7f784ff026da4b4b0175761ed81d92b3822ad3', '0xf9a4f3320a0e0d475122469bc1834b09fa551fe1', '0xde108868a3360e7941edce2d32033106fee543cd', '0x6065dd3eb1bf475d745586b936d6da232fe8ea86', '0xbda678d68acb379c720c1687191b02468572c343']"
1,eth:0x96a8f500005a8057ade6cf725dc5005600074a88,EOA,0x96a8f500005a8057ade6cf725dc5005600074a88,0x45f50a4ac2c4e636191adcfbb347ec2a3079fc02,[]
2,eth:0xc10029a6017d184d1f368d32b71f00f33f31773a,EOA,0xc10029a6017d184d1f368d32b71f00f33f31773a,0x45f50a4ac2c4e636191adcfbb347ec2a3079fc02,[]
3,eth:0x98ca008184da13e18be8112984b5c900b33774d5,EOA,0x98ca008184da13e18be8112984b5c900b33774d5,0x45f50a4ac2c4e636191adcfbb347ec2a3079fc02,[]
